procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 592468  30480 1713340    0    0  3808  1474 7143 6476 21 23  3 54  0
 3  1      0 588744  30480 1717132    0    0  3664  1377 7748 6803 23 20  3 54  0
 0  2      0 584680  30480 1720980    0    0  3628  1682 7681 7079 26 26  5 43  0
 0  3      0 580648  30480 1724952    0    0  3756  1365 7511 6708 27 25  4 45  0
 0  3      0 576584  30480 1729000    0    0  3868  1442 7632 6839 26 27  3 43  0
 0  1      0 572804  30480 1732828    0    0  3604  1469 6757 6348 25 19  5 51  0
 2  2      0 569024  30480 1736536    0    0  3536  1582 7480 6890 27 26  3 45  0
 1  3      0 565244  30480 1740324    0    0  3536  1545 8495 7349 28 28  3 41  0
 1  3      0 561204  30480 1744144    0    0  3548  1762 9361 7823 31 31  4 34  0
 1  2      0 557424  30480 1748016    0    0  3628  1565 7373 6596 22 26  5 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 553392  30480 1751964    0    0  3740  1378 6939 6426 25 19  3 53  0
 0  4      0 549392  30480 1756016    0    0  3856  1285 6919 6209 23 26  4 47  0
 3  1      0 545580  30480 1759720    0    0  3576  1522 8171 7277 28 23  4 46  0
 2  1      0 542336  30480 1763208    0    0  3212  1913 10827 8436 33 34  4 30  0
 0  4      0 538004  30480 1767312    0    0  3756  1522 7236 6536 26 22  4 48  1
 2  1      0 534256  30480 1771184    0    0  3704  1273 7365 6360 25 21  3 51  0
 1  2      0 529972  30480 1775068    0    0  3732  1450 8053 6836 29 28  2 41  0
 2  2      0 526664  30480 1778672    0    0  3344  1774 8209 7437 29 27  4 41  0
 2  1      0 522876  30480 1782332    0    0  3432  1793 8889 7794 28 29  6 36  1
 3  2      0 518844  30480 1786284    0    0  3672  1422 7449 6564 23 22  3 52  0
 2  1      0 515568  30480 1789700    0    0  3224  1789 9629 7850 30 28  5 37  0
 2  2      0 511284  30480 1793696    0    0  3688  1390 7203 6372 25 21  3 51  0
 1  2      0 508104  30480 1797172    0    0  3304  1853 8560 7566 29 27  6 39  0
 2  1      0 504764  30480 1800644    0    0  3144  1906 9825 8296 28 30  5 37  0
 2  2      0 500724  30480 1804188    0    0  3324  1893 8992 7950 31 28  4 37  0
 2  2      0 496912  30480 1807948    0    0  3496  1602 7761 6984 25 28  3 44  0
 1  3      0 492660  30480 1811840    0    0  3648  1521 8591 7225 31 28  3 39  1
 3  1      0 488976  30480 1815368    0    0  3200  1972 9605 7959 28 30  4 38  0
 3  1      0 484816  30480 1819200    0    0  3596  1509 7049 6283 27 19  2 52  0
 0  3      0 480784  30480 1823188    0    0  3788  1306 7248 6440 28 23  3 47  0
 1  3      0 477256  30480 1826916    0    0  3576  1605 8752 7687 28 28  3 42  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 472656  30480 1831256    0    0  4068  1190 5848 5602 23 19  3 55  1
 0  4      0 468680  30480 1834888    0    0  3456  1657 7962 6970 25 28  5 43  0
 0  3      0 464640  30480 1838516    0    0  3320  1974 9701 8290 32 29  5 34  0
 2  1      0 461144  30480 1841976    0    0  3196  1901 9907 8430 29 33  6 33  0
 1  2      0 457332  30480 1845676    0    0  3420  1810 9368 7784 29 31  3 37  0
 2  2      0 453648  30480 1849280    0    0  3352  1805 8675 7607 31 26  4 39  1
 1  3      0 449804  30480 1853012    0    0  3428  1714 8406 7246 26 26  5 43  0
 0  4      0 446244  30480 1856692    0    0  3380  1769 8749 7513 30 24  6 41  0
 0  3      0 443252  30480 1859724    0    0  2840  2126 10499 8691 31 34  7 28  0
 4  0      0 439252  30480 1863584    0    0  3516  1837 9532 7991 31 29  6 34  0
