procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1594400   9120 1398208    0    0  3952  1565 8630 7196 28 23  3 46  0
 2  1      0 1590272   9120 1402088    0    0  3644  1702 8411 7341 25 26  4 45  0
 2  2      0 1586076   9120 1406120    0    0  3732  1497 7853 6765 22 26  2 50  1
 4  1      0 1582044   9120 1409896    0    0  3524  1790 8692 7664 30 23  3 44  0
 1  3      0 1577508   9120 1413812    0    0  3748  1505 7965 7054 29 20  4 46  0
 1  3      0 1573436   9120 1417912    0    0  3780  1498 7337 6588 25 24  3 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 1568324   9120 1422332    0    0  4256  1005 5774 5383 19 16  1 64  0
 2  2      0 1564356   9120 1426436    0    0  3960  1234 6898 6452 20 21  4 54  1
 0  1      0 1560444   9120 1429944    0    0  3272  1975 9473 8255 28 29  4 39  0
 3  2      0 1556064   9120 1433988    0    0  3776  1506 7378 6620 25 22  4 49  0
 2  2      0 1551488   9120 1438284    0    0  4128  1161 6747 5884 24 21  1 54  0
 1  1      0 1547456   9120 1442340    0    0  3872  1258 6843 6281 24 18  2 56  0
 0  4      0 1542952   9120 1446244    0    0  3664  1533 8120 6809 29 21  3 46  1
 0  2      0 1538724   9120 1450136    0    0  3696  1602 8705 7163 30 24  4 42  1
 0  4      0 1534596   9120 1453864    0    0  3452  1705 7901 7391 24 22  6 47  0
 2  2      0 1530596   9120 1457660    0    0  3604  1578 7737 7113 28 22  5 45  0
 3  1      0 1526304   9120 1461808    0    0  3908  1413 7538 6675 26 20  3 50  1
 3  1      0 1521988   9120 1465764    0    0  3784  1354 7472 6461 20 19  2 59  0
 1  3      0 1518208   9120 1469492    0    0  3432  1937 9639 8220 29 31  5 36  0
 0  3      0 1513672   9120 1473336    0    0  3548  1766 8676 7605 30 26  5 39  0
 1  2      0 1509632   9120 1477140    0    0  3548  1617 8468 7357 29 25  4 43  0
 1  2      0 1505380   9120 1481124    0    0  3772  1474 7720 6826 30 20  2 49  0
 1  3      0 1501348   9120 1484932    0    0  3552  1649 7808 6969 25 24  4 46  0
 0  4      0 1497088   9120 1488760    0    0  3572  1666 8483 7353 28 25  4 42  1
 2  2      0 1492992   9120 1492548    0    0  3624  1445 8188 6995 28 25  3 44  0
 2  2      0 1488992   9120 1496228    0    0  3500  1710 8254 7134 28 21  4 48  0
 0  4      0 1484668   9120 1500200    0    0  3676  1301 6758 5977 18 16  2 64  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1480952   9120 1504016    0    0  3620  1526 8916 7293 30 26  4 40  0
 2  2      0 1476604   9120 1507784    0    0  3536  1637 7861 6975 27 25  4 45  1
 1  2      0 1472384   9120 1511700    0    0  3688  1542 7616 6857 26 24  3 47  0
 1  2      0 1467940   9120 1515588    0    0  3748  1417 8371 6953 28 25  3 43  0
 2  2      0 1464004   9120 1519492    0    0  3608  1486 7600 6575 27 22  4 47  0
 4  0      0 1460036   9120 1523140    0    0  3528  1513 7928 6840 29 24  4 44  0
 0  4      0 1455972   9120 1527224    0    0  3728  1662 8251 7070 32 25  3 39  2
 4  0      0 1451924   9120 1531108    0    0  3612  1573 8431 7411 28 27  3 42  0
 1  2      0 1447608   9120 1534616    0    0  3304  1778 8860 7540 29 27  4 40  0
 1  3      0 1443640   9120 1538300    0    0  3564  1493 7950 6937 24 27  3 46  0
 2  1      0 1439796   9120 1541860    0    0  3204  1902 8965 7723 30 31  3 35  0
 2  1      0 1436048   9120 1545568    0    0  3472  1755 8528 7453 26 29  4 41  1
 2  1      0 1432228   9120 1548760    0    0  2916  2286 10409 8959 31 34  6 29  0
 2  2      0 1428480   9120 1552268    0    0  3208  1733 8140 7247 24 29  4 43  0
 1  1      0 1424660   9120 1555780    0    0  3232  1934 9858 8016 34 31  4 32  0
 3  1      0 1420440   9120 1559636    0    0  3588  1817 8971 7681 27 31  4 38  0
 2  2      0 1416432   9120 1563448    0    0  3580  1634 7966 7020 29 25  4 43  1
 3  1      0 1412052   9120 1566948    0    0  3176  1925 9560 8097 27 33  4 36  0
 0  4      0 1408084   9120 1570616    0    0  3520  1662 8056 7175 29 27  3 40  0
 0  3      0 1404208   9120 1574396    0    0  3448  1589 8674 7542 29 30  3 38  0
