procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 116192  17444 2859392    0    0  7892  7018 5597 4584 33 21  2 44  0
 1  4      0 109852  17444 2868348    0    0  8772  7418 2038 1718 26  8  4 63  0
 0  5      0 138808  17404 2839708    0    0  8792  7321 1124 1105 23  6  0 71  0
 0  5      0 488700  17404 2490308    0    0  8980  7655 2492 2235 23 11  0 66  1
 1  4      0 479320  17404 2499160    0    0  8780  6513 2348 1846 25  8  0 66  1
 2  3      0 470200  17404 2507632    0    0  8500  7586 1577 1434 24  6  1 70  1
 0  5      0 461908  17404 2516076    0    0  8352  8344 1089 1063 23  4  0 72  0
 0  5      0 454592  17404 2523728    0    0  7704  7550 2039 1942 26  6  0 67  0
 1  3      0 452552  17404 2527204    0    0  3172 12938 7182 5724 48 22  0 31  0
 1  4      0 448196  17404 2529244    0    0  1936 14183 3577 2959 42 11  0 46  0
 1  4      0 447684  17404 2529588    0    0   320 15484  934  744 41  4  0 54  1
 1  4      0 444960  17404 2531604    0    0  1988 14190 3739 3103 42 12  2 44  0
 0  5      0 444392  17404 2531940    0    0   256 16565  667  527 41  2  0 57  0
 5  0      0 440288  17404 2539928    0    0  8036  6681 3565 2734 25 12  5 58  0
 5  0      0 427972  17404 2550376    0    0 10216  5930 3880 3318 26 14  0 60  0
 2  3      0 427840  17404 2550672    0    0   276 15648 1347 1133 41  6  6 46  0
 2  2      0 426980  17404 2551080    0    0   384 15661 1021  862 40  3  0 57  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 424924  17404 2552048    0    0   928 15591 2010 1340 44  7  0 49  0
 1  3      0 424924  17404 2552168    0    0    96 15492  776  660 42  2  0 56  0
 1  4      0 422112  17404 2554164    0    0  1916 14433 4309 3657 43 12  0 45  0
 0  5      0 421860  17404 2554496    0    0   276 16449  588  532 41  2  0 58  0
 2  2      0 418276  17404 2558664    0    0  4132  9168 3785 3736 39 13  0 45  4
 0  5      0 410252  17404 2566704    0    0  7804  9240 5822 4897 33 18  1 48  0
 1  4      0 404148  17404 2573452    0    0  6644  8103 4675 4526 38 12  1 49  0
 0  4      0 395328  17404 2581836    0    0  8308  9830 4208 3670 32 13  0 55  0
 2  4      0 386728  17404 2588796    0    0  6916  7685 4773 4172 29 14  1 56  0
 2  3      0 657092  17404 2316532    0    0  6856  2534 6512 6233 48 22  2 26  2
 1  4      0 649964  17404 2323168    0    0  6384  2612 6731 6252 57 19  0 23  1
 4  1      0 644176  17404 2330508    0    0  7316  2958 5055 4656 58 11  0 30  0
 1  2      0 636480  17404 2336612    0    0  5816  2747 8002 7510 53 23  0 24  0
 5  0      0 626848  17404 2346144    0    0  9336  7612 6922 5701 44 24  0 32  1
 0  4      0 617232  17404 2355936    0    0  9544  7292 5606 4894 38 18  1 44  0
 1  4      0 607648  17404 2364824    0    0  8704  6652 6612 5567 44 23  0 32  1
 3  2      0 598308  17404 2373696    0    0  8908  6928 3896 3307 37  9  1 54  0
 0  4      0 591936  17404 2383160    0    0  9184  7240 5033 4135 35 18  0 48  0
 4  0      0 582068  17404 2392540    0    0  9232  6309 5947 4760 42 18  1 40  0
 1  5      0 573476  17404 2401676    0    0  9020  7601 6659 5130 44 21  0 36  0
 1  4      0 564908  17404 2410732    0    0  8792  6433 5966 4717 37 22  1 39  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 554968  17404 2420500    0    0  9752  6721 3256 3075 35 11  1 54  0
 5  0      0 545400  17404 2429456    0    0  8916  6959 3827 3260 37 11  0 53  0
 2  3      0 533720  17404 2438580    0    0  9004  7179 4142 3678 37 12  1 49  1
 2  3      0 525184  17404 2448068    0    0  9260  6619 7895 5825 45 22  0 32  0
 0  5      0 516648  17404 2457028    0    0  8704  7439 6796 5089 42 24  0 34  0
 0  5      0 505260  17404 2467368    0    0 10228  5908 2849 2634 34  9  0 56  1
 1  4      0 495408  17404 2478004    0    0 10624  5295 1648 1344 28  5  1 67  0
 2  3      0 487092  17404 2487232    0    0  9260  6677 3287 2786 37  9  0 53  0
 1  3      0 476964  17404 2496644    0    0  9336  6612 2569 2343 36  8  5 52  0
 0  5      0 465908  17404 2506560    0    0  9796  6995 4849 4018 43 13  0 44  0
 4  1      0 457308  17404 2514776    0    0  8056  6913 7045 5979 43 21  1 33  3
 5  0      0 447452  17404 2523932    0    0  9000  7167 5261 4282 42 16  1 42  0
 1  3      0 442708  17404 2527828    0    0  3676  9980 7724 6984 54 20  0 27  0
 1  4      0 437100  17404 2531968    0    0  3980  9558 6445 6141 51 19  0 31  0
 3  1      0 435508  17404 2535444    0    0  3248  9164 8468 7752 57 21  1 22  0
 2  2      0 427712  17404 2542500    0    0  6868 10139 5516 4034 54 15  0 30  2
 2  3      0 421884  17404 2546612    0    0  3960 11681 6335 5392 58 16  0 26  0
 1  4      0 419544  17404 2550636    0    0  3912 11465 5940 5158 59 13  1 27  0
 3  1      0 415340  17404 2554700    0    0  3868 10557 6520 5954 56 16  1 27  0
 2  1      0 411592  17404 2558492    0    0  3548  9758 8358 6980 56 23  0 21  0
 3  2      0 405716  17404 2562828    0    0  4292  9225 5129 5230 51 14  1 32  3
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 400156  17404 2569000    0    0  5896  9387 6762 6350 52 16  0 32  0
 1  4      0 395012  17404 2574712    0    0  5744  8436 6097 5483 50 16  0 34  1
 0  3      0 386752  17404 2582416    0    0  7468 10218 4647 4409 46 14  0 41  0
 1  4      0 374136  17404 2592072    0    0  9564  6109 2916 2477 31 10  0 59  0
 1  4      0 614832  17404 2353812    0    0  9008  7691 3444 2600 38 11  4 46  2
 4  1      0 604996  17404 2362592    0    0  8684  6533 5676 4750 45 19  0 36  0
 4  0      0 596656  17404 2371004    0    0  8316  7543 2603 1785 36 10  0 54  0
 4  0      0 587096  17404 2379816    0    0  8636  7396 5981 4652 40 21  0 39  0
 1  4      0 575748  17404 2390604    0    0 10728  5608 2033 1672 29  6  1 65  0
 1  3      0 572968  17404 2396152    0    0  5388  8419 6339 5549 52 20  0 27  2
 4  2      0 568392  17404 2399704    0    0  3408  8897 7363 6730 55 25  1 20  0
 1  4      0 566020  17404 2403944    0    0  4096 10304 5498 4527 57 16  0 26  0
 3  2      0 561100  17404 2407616    0    0  3448  8834 8711 7530 52 25  1 22  0
 0  4      0 549972  17404 2418736    0    0 10944  6900 3830 3134 34 13  0 54  0
 3  2      0 540648  17404 2428600    0    0  9812  5600 2253 1931 34  7  1 58  0
 1  3      0 530380  17404 2437416    0    0  8816  7254 5415 4457 42 19  0 37  2
