procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 110348  21824 1295384    0    0  9616  2744 5857 9255 12 14  6 68  1
 0  3      0 109284  21452 1287300    0    0  9008  2870 5816 9526 13 14  7 65  2
 2  2      0 108144  21084 1279084    0    0  9424  2980 5989 9327 13 11  8 68  0
 2  2      0 108144  20580 1271212    0    0  8544  6463 5285 8852 11 12  6 71  0
 1  3      0 106192  20176 1263632    0    0  9168  2858 6427 10143  9  7  2 82  0
 0  1      0 103688  19776 1256344    0    0  9856  2998 5836 8997 13 12  6 69  1
 1  7      0 109044  19148 1241500    0    0  9392  2411 5954 9478 13 14  7 65  1
 1  2      0 107036  18764 1234556    0    0  9152  2880 6285 9934 13 15  5 66  0
 1  2      0 103848  18224 1227036    0    0 11776  2028 4249 6558  7  9 13 71  1
 0  2      0 109236  17048 1212628    0    0  9596  2658 5389 9147 13 11  2 75  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  8      0 104668  16612 1205336    0    0 10720  2455 4691 8209  9 12  9 70  0
 0  4      0 109072  16568 1191164    0    0  9312  6444 5471 8205  8 11  9 70  1
 3  4      0 107284  16540 1184600    0    0  8864  3173 6189 9739 12 16  5 67  0
 1  8      0 108812  16524 1171012    0    0  9740  2792 6114 9590  9 15  4 72  0
 0  5      0 108648  16296 1164628    0    0  8752  2968 7653 10550  7 13  4 76  0
 4  4      0 106128  16112 1158380    0    0  8896  3058 6801 10056 11 15  3 70  1
 0  3      0 108852  15864 1145424    0    0  8400  3643 7056 10307 12 15  7 66  1
 0  5      0 104656  15864 1138864    0    0 11248  2150 4832 7828  9 10  3 79  0
 1  6      0 103908  15864 1132404    0    0  8080  6475 5352 8335 10 11 10 68  0
 0  1      0 106444  15872 1119440    0    0  9328  3705 7243 10610 16 18  7 59  0
 1  0      0 107728  15604 1106932    0    0  8528  3632 6785 10476 18 14 10 57  1
 0  3      0 127440  15236 1080924    0    0  8736  3394 7186 10734 10 15  6 68  1
 1  3      0 117108  15236 1081380    0    0  9104  3049 6009 9390 11 15  7 66  1
 0  6      0 106524  15236 1081784    0    0  9872  3181 5721 9013  9 14  3 74  1
 5  2      0 122496  14828 1056144    0    0  8944  2920 6891 10030 12 21 10 57  0
 0  3      0 112132  14836 1056848    0    0  8864  3171 6816 10254 12 15  6 67  0
 0  6      0 127528  14836 1031340    0    0  9760  2968 5722 9087 12 16  4 68  0
 0  7      0 119844  14836 1031912    0    0  8672  3503 6438 10035 16 17  4 62  1
 0  3      0 108848  14836 1032280    0    0  9888  2649 5821 9124 10 10  3 76  1
 0  5      0 122820  14664 1007544    0    0 10096  2877 5440 8744 11 12  5 72  0
 1  6      0 112732  14664 1008060    0    0  8944  2718 6403 9999 12 18 11 60  0
