procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 111200  15304 2869056    0    0  4344  2366 5811 5985 24 23  4 49  0
 3  2      0 106728  15304 2873008    0    0  3692  2940 7589 7286 32 25  5 37  1
 0  4      0 139952  15304 2838664    0    0  3628  3318 9481 8721 34 31  5 29  0
 4  0      0 135668  15304 2842624    0    0  3696  3024 8184 7862 29 28  5 38  0
 0  4      0 130124  15304 2847172    0    0  4424  2584 6547 6632 28 21 12 40  0
 4  1      0 126124  15304 2851884    0    0  4508  2903 7438 7437 27 26  5 42  1
 1  3      0 120800  15304 2856136    0    0  3972  3395 8934 8889 28 31  9 32  1
 3  2      0 115760  15304 2860476    0    0  4080  3004 8067 8240 27 27  9 37  0
 4  0      0 113492  15304 2863684    0    0  3064  3205 7718 7780 26 25  8 41  0
 2  2      0 110248  15304 2867008    0    0  2968  3433 9080 9147 30 27  8 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 105240  15304 2871020    0    0  3892  2754 7184 7168 28 27  5 40  1
 0  4      0 121336  15304 2855596    0    0  3072  3383 9231 8741 36 28  6 28  2
 2  2      0 117712  15304 2859420    0    0  3584  3082 8225 8226 30 25  8 37  0
 2  2      0 114564  15304 2863144    0    0  3480  3247 8410 8374 34 27  6 34  0
 2  2      0 109648  15304 2867636    0    0  4408  2525 6477 6493 23 24  4 49  0
 3  0      0 104980  15304 2871672    0    0  3704  3055 8390 7940 27 32  6 35  0
 1  2      0 138188  15304 2837484    0    0  3592  2949 7984 7797 28 22  8 42  0
 3  1      0 133368  15304 2841880    0    0  4156  2552 6480 6503 28 25  5 42  1
 0  2      0 130156  15304 2846020    0    0  3884  2942 8008 7638 32 19  7 41  1
 2  2      0 127124  15304 2849612    0    0  3316  3382 9293 8774 31 29  6 33  0
 2  2      0 123532  15304 2853340    0    0  3520  3119 8267 8123 28 30  6 35  0
 0  4      0 119784  15304 2858028    0    0  4476  2503 6331 6046 30 19  8 43  1
 3  1      0 115280  15304 2861416    0    0  3120  3532 9227 8926 31 34  7 28  1
 2  2      0 110648  15304 2865340    0    0  3704  2779 7670 7502 28 24  5 43  0
 2  1      0 106460  15304 2868880    0    0  3348  3049 8370 8065 29 24  6 41  1
 1  3      0 121296  15304 2853952    0    0  3444  3272 9035 8491 32 30  6 32  0
 2  2      0 117296  15304 2857668    0    0  3468  3287 8686 8304 30 30  7 33  0
 2  2      0 113736  15304 2861540    0    0  3612  3143 8576 8239 33 26  4 37  1
 4  0      0 108996  15304 2864952    0    0  3096  3373 9503 8764 34 31  9 26  0
 0  3      0 104144  15304 2868728    0    0  3472  3286 9385 8695 34 27  6 33  0
 1  3      0 118508  15304 2854084    0    0  3652  3080 8079 8036 28 25  6 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2      0 115988  15304 2857488    0    0  3196  3099 7833 7685 25 25  6 44  0
 5  0      0 298516  15304 2672364    0    0  4528  2936 9161 8283 33 32  6 29  1
 1  4      0 292728  15304 2677564    0    0  4964  2349 6018 6090 28 20  4 48  1
 2  3      0 287672  15304 2681868    0    0  4168  2622 6594 6779 23 23  5 50  0
 5  0      0 283160  15304 2686000    0    0  3956  2441 6769 6379 28 20  7 45  0
 4  0      0 279048  15304 2689700    0    0  3520  2973 8707 8222 30 25  6 39  0
 0  4      0 273772  15304 2694244    0    0  4248  2483 6958 6939 29 20 10 40  1
 1  3      0 268968  15304 2698792    0    0  4320  2644 7017 6701 24 18  3 55  0
 2  1      0 264100  15304 2703368    0    0  4432  2347 6878 6581 27 18 22 34  0
 3  1      0 259864  15304 2707348    0    0  3656  3246 8503 8083 30 27  8 35  0
 2  1      0 257856  15304 2711584    0    0  4096  2624 7531 7190 28 25  4 42  0
 3  1      0 253012  15304 2715768    0    0  3852  3023 7843 7681 28 27  7 37  1
 0  2      0 248540  15304 2719928    0    0  3948  2858 7757 7586 30 23  5 42  1
 0  3      0 243208  15304 2724468    0    0  4372  2502 6351 6352 30 20  6 45  0
 2  2      0 240348  15304 2728776    0    0  4088  3004 8581 7823 32 30  6 32  0
 2  2      0 234308  15304 2733588    0    0  4448  3015 8531 8392 31 26  5 38  0
 0  2      0 229000  15304 2738056    0    0  4188  3036 8085 7816 31 26  7 37  0
 4  0      0 223764  15304 2742284    0    0  4016  3212 8178 7899 32 29  4 34  2
 2  2      0 219660  15304 2746680    0    0  4156  3111 9056 8757 32 26  7 34  1
 0  3      0 214172  15304 2751308    0    0  4516  2635 6725 6627 24 24  6 46  0
 2  2      0 208492  15304 2755952    0    0  4224  3207 9041 8616 39 26  7 29  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 203792  15304 2760188    0    0  4052  3220 7794 7661 29 24  7 41  0
 0  3      0 198656  15304 2764312    0    0  3936  3278 8710 8377 33 27  8 32  1
 4  0      0 195396  15304 2767848    0    0  3252  3146 9256 8660 37 28  8 27  0
 3  1      0 189380  15304 2771692    0    0  3460  3405 9301 8929 33 30  6 31  0
 1  2      0 185584  15304 2775176    0    0  3152  3520 9940 9225 35 32  8 25  0
 1  1      0 186260  15304 2778864    0    0  3380  3370 9307 8710 32 31  7 30  0
 3  1      0 181876  15304 2782936    0    0  3892  2857 8134 7735 30 29  5 36  0
 4  0      0 177000  15304 2786556    0    0  3272  3506 9208 8710 34 28  6 31  1
 1  3      0 172172  15304 2789996    0    0  3120  3445 9297 8807 34 29  6 31  0
 4  0      0 166896  15304 2793908    0    0  3744  3113 8057 7777 32 24  6 38  0
 2  2      0 163108  15304 2797056    0    0  2768  3217 8394 8282 28 26  8 39  0
 1  4      0 159296  15304 2800308    0    0  3004  3507 9201 8774 32 29  8 30  0
 1  1      0 154240  15304 2804344    0    0  3912  2909 7736 7519 34 23  5 37  1
 3  0      0 149704  15304 2807588    0    0  2836  3398 9358 8736 33 31  7 29  0
 4  0      0 145412  15304 2811100    0    0  3288  3272 8356 8508 33 25  7 35  0
 0  1      0 141664  15304 2815048    0    0  3656  3134 9179 8630 35 26  5 33  0
 0  3      0 137844  15304 2818660    0    0  3296  3301 9326 8917 35 32  6 27  0
 2  2      0 133300  15304 2822532    0    0  3628  3090 8125 7809 31 26  5 37  1
 4  0      0 129708  15304 2825844    0    0  2996  3366 9796 9352 40 27  8 25  0
 2  2      0 128284  15304 2829316    0    0  3228  3433 8833 8715 32 25  7 36  0
 0  4      0 124212  15304 2833116    0    0  3556  3161 8333 8196 33 22  5 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 120100  15304 2836892    0    0  3520  3008 8181 7999 30 29  5 36  0
 3  1      0 116180  15304 2840500    0    0  3360  3266 8678 8228 29 31  6 34  1
 2  1      0 112140  15304 2844016    0    0  3212  3416 9167 8862 33 28  8 31  1
 1  0      0 108580  15304 2847356    0    0  3016  3414 9527 8969 38 27  9 26  0
 2  2      0 105044  15304 2850372    0    0  2784  3384 8792 8673 31 30  5 34  0
 0  3      0 119904  15300 2835656    0    0  2636  3072 7891 7661 27 25  8 39  0
