procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 108120   8648 238184    0    0  4264  4359 8680 15298 22 10 16 51  1
 2  2      0 107332   8648 239016    0    0  4432  4359 8319 14562 22 10 18 49  0
 3  1      0 106104   8648 239964    0    0  4344  4690 8314 14856 23 12 17 47  0
 0  0      0 105064   8648 241056    0    0  4592  4453 8145 14690 26  8  9 57  0
 0  4      0 104812   8648 241520    0    0  4120  8081 7287 13059 19  9 12 60  0
 0  4      0 103868   8648 242404    0    0  5104  4129 7727 13623 22 10  6 61  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 119548   8428 225844    0    0  4964  4153 7541 13723 21  7 10 62  0
 1  3      0 118604   8428 226692    0    0  4624  4004 8613 15283 22 11  7 61  0
 1  3      0 118096   8428 227216    0    0  4636  3694 8610 14512 20  9  7 66  0
 1  3      0 118032   8428 227968    0    0  4264  4203 9038 15137 25 13 14 48  0
 3  1      0 117908   8428 229136    0    0  4560  4235 9006 15091 22 14  8 55  1
 0  4      0 117088   8428 230176    0    0  4112  8223 8746 14829 25 10 15 50  0
 2  1      0 116112   8428 231124    0    0  4616  3956 7388 13558 20  9 11 60  0
 0  4      0 115072   8428 232056    0    0  4464  4077 8664 14797 19 11 17 54  0
 1  2      0 113844   8428 232920    0    0  4472  3914 8604 15232 25  9 20 46  1
 0  5      0 112236   8428 233864    0    0  3968  8208 8895 15564 23 11 16 50  0
 2  1      0 111608   8428 234440    0    0  4392  3828 8630 15400 21 13 14 52  1
 1  2      0 110944   8428 234968    0    0  4736  3699 7613 14137 19  8 18 55  0
 3  1      0 110536   8428 235480    0    0  4496  7773 8110 14091 19  7 13 61  0
 1  1      0 109372   8428 236232    0    0  4144  5032 9496 15397 28  9 17 46  1
 3  4      0 108048   8428 236960    0    0  3912  5163 8954 14601 25 10 19 46  0
 0  2      0 107448   8428 237560    0    0  4040  9040 8250 13752 19 12 23 45  1
 1  4      0 106788   8428 238064    0    0  4272  4955 8345 13846 20 13 16 50  0
 2  5      0 105748   8428 238792    0    0  4424  4985 7790 14228 19 10 13 58  0
 1  4      0 104928   8428 239324    0    0  4504  5139 7083 12929 19  9 14 58  0
 0  2      0 104236   8428 240200    0    0  4112  5512 8890 15296 23  9 17 51  0
 2  2      0 118612   7420 224832    0    0  4128  6031 8604 13903 24 13 13 50  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 119020   7420 225444    0    0  3736  9627 6550 11091 19 10 25 45  1
 0  4      0 118328   7420 226252    0    0  4168  6018 8130 13626 21 11 19 49  0
 2  0      0 116700   7420 228280    0    0  5716  6036 7324 12726 21 11 19 49  0
 3  2      0 116448   7420 228928    0    0  3960 10367 7057 11784 18 11 13 58  0
 0  2      0 115944   7420 229352    0    0  4272  6321 6752 12291 14 10 14 62  0
 2  3      0 115228   7420 230152    0    0  3688  6556 8759 14645 23 11 19 45  2
 4  0      0 114692   7420 230660    0    0  3352 10821 6361 11688 18  8 30 43  0
 1  4      0 113684   7420 231608    0    0  3792  7270 8335 14176 23 10 22 45  0
 0  2      0 113180   7420 232032    0    0  4288  6498 6887 12591 19  7 17 56  0
 3  1      0 111888   7420 232760    0    0  3648  6839 7887 14076 23 11 22 45  0
 1  2      0 111480   7420 233476    0    0  3776  6324 8077 14114 25 10 18 46  2
 3  1      0 110492   7420 234384    0    0  3384 10484 7692 12808 21 11 24 43  2
 1  3      0 109264   7420 235456    0    0  3800  6383 8577 14483 22 13 15 50  0
 0  3      0 108412   7420 236100    0    0  3776  6111 7734 13909 23 10 23 43  0
 2  1      0 107720   7420 237104    0    0  4016  6213 7707 13229 22 12 14 51  1
 1  3      0 106996   7420 237568    0    0  4400  5596 6626 11521 20  9  8 63  0
 1  3      0 105924   7420 238632    0    0  4464  6094 7056 12205 24  7 13 55  1
 1  4      0 104948   7420 239400    0    0  3096 10481 7418 12697 23 10 21 45  1
 2  3      0 104192   7420 239964    0    0  3784  6391 8181 14601 23  9 23 45  0
 0  3      0 103688   7420 240752    0    0  4216  6078 8071 14399 16 10 21 52  0
 1  2      0 118732   6784 224512    0    0  4136  6038 7092 13042 20  7 20 52  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 118164   6784 225052    0    0  3960  6075 8023 14613 16  8 23 53  0
 0  3      0 118480   6784 225624    0    0  3120 10151 6652 11631 17  9 16 57  2
 2  1      0 117816   6784 226220    0    0  4424  6731 7940 13251 21 11 18 51  0
 1  2      0 117220   6784 226876    0    0  4144  6277 8408 14120 24 11 14 52  0
 2  3      0 116116   6784 227668    0    0  3720  6638 8397 14307 24 11 17 46  1
 3  0      0 114668   6784 229028    0    0  3984  7203 7845 13926 24 10 14 52  0
 0  2      0 113628   6784 229752    0    0  3280 10538 7908 13072 23 10 22 44  1
 0  3      0 113156   6784 230484    0    0  3968  6790 7703 12285 21 12 22 46  0
 7  0      0 111044   6784 231116    0    0  3784 10208 6856 11844 20  6  9 64  0
 2  1      0 110416   6784 231952    0    0  3504  6713 8445 13688 28 13 18 41  0
 2  4      0 109124   6784 232940    0    0  3984  6478 8881 14576 25 12 14 49  0
 2  4      0 108116   6784 234040    0    0  4000  6637 8353 14515 21 10 13 55  2
 0  4      0 107328   6784 234884    0    0  3712 10445 8443 14074 23 10 17 50  1
 1  3      0 106100   6784 236016    0    0  4168  6426 8619 13697 24 11 13 52  0
 2  3      0 105564   6784 236524    0    0  4344  5884 7397 12877 19 10 12 59  0
 1  4      0 104904   6784 237092    0    0  3848  6321 7970 13180 22 10 17 51  1
 2  1      0 104052   6784 237820    0    0  3736  6370 8225 13746 20 11 17 52  0
 2  2      0 103548   6784 238408    0    0  3880  6346 7491 12578 20 12 16 51  2
 0  2      0 119520   6308 222244    0    0  3664 10430 6977 12219 18  7 21 53  0
 3  0      0 119268   6308 223268    0    0  3920  6732 8707 14317 21 11 26 42  0
 4  3      0 119300   6308 224368    0    0  3784  6697 7987 13799 26  9 19 46  0
