procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4      0 108280  13964 1287652    0    0  9216  2789 6255 9851 14 13  4 67  1
 0  4      0 130364  13904 1256060    0    0  9184  2713 6355 9799  9 16 23 52  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 119780  13904 1256308    0    0  9920  2522 6029 9373 10 11  7 72  0
 1  3      0 108976  13904 1256428    0    0 10192  2472 5494 8904  9 14  6 70  1
 0  4      0 129296  13852 1225892    0    0  9296  2679 6458 10042  9 18  6 66  0
 0  4      0 118680  13852 1226196    0    0  9968  2493 5967 9180 10 14 13 61  1
 1  3      0 109136  13852 1226148    0    0  8736  3114 7625 10859 14 17  6 64  0
 0  4      0 114852  13836 1210064    0    0  9216  2823 7113 10269 13 13  5 68  1
 0  7      0 106284  13836 1210272    0    0  8064  6514 5724 8480 10 13  4 72  1
 0  4      0 126404  13796 1181336    0    0  8304  6962 5154 7992  7  8  7 79  0
 0  5      0 117836  13796 1181680    0    0  8848  3047 6720 10087 10 16 13 59  1
 4  0      0 108008  13796 1181672    0    0  8944  3019 7266 10766 11 22  6 60  1
 2  3      0 124764  13760 1153664    0    0  9424  2929 6504 10041 10 15  9 65  1
 0  3      0 115032  13760 1153672    0    0  9776  2644 5366 8789 10 14  1 76  0
 1  4      0 104668  13760 1153432    0    0 10096  2766 5938 9101 10 11  5 74  0
 1  2      0 121996  13728 1126028    0    0 10224  2659 5945 8941 12  9  4 75  0
 0  4      0 112388  13728 1126124    0    0  9312  2806 6529 9628 12 15  1 71  1
 0  3      0 108632  13728 1126356    0    0  4112 13019 4524 7027  4  7  6 82  0
 0  4      0 107372  13728 1126364    0    0  1184 14930 1078 1901  1  3  9 86  1
 0  3      0 105828  13728 1126300    0    0  1280 14800 1036 1838  3  2  4 91  0
 0  5      0 104820  13728 1126300    0    0  1120 14931  851 1609  2  2  4 93  0
 0  3      0 104064  13728 1126324    0    0   944 14394 1079 1673  1  2  1 97  0
 3  3      0 119892  13696 1100080    0    0  9392  3592 5942 9367 12 16  9 62  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3      0 109560  13696 1099952    0    0  9744  2740 6115 9330 13 13  1 73  0
 1  3      0 127396  13640 1071512    0    0  9312  2761 6819 10099 12 19  6 63  0
 0  4      0 118612  13640 1071408    0    0  9232  2893 7153 10193 15 18  5 63  1
 3  1      0 109004  13640 1069928    0    0 10752  2499 5559 8507 10 12  7 69  1
 0  3      0 124856  13552 1043888    0    0 10640  2532 5233 8276 11 10  2 77  0
 1  3      0 116256  13552 1041224    0    0 10512  2581 5459 8593 11 13  4 73  0
 0  5      0 107688  13552 1040000    0    0  8832  6850 5844 8908  8 13  3 76  1
 1  3      0 121620  13472 1016000    0    0 10416  2743 5862 9127  9 10  4 77  0
 0  4      0 111288  13472 1016040    0    0 10320  2603 5811 9403  5  5  4 86  0
 0  5      0 122864  13396 992976    0    0  9712  2736 6050 9251 11 15 11 62  1
 0  2      0 113824  13396 992888    0    0  9552  2744 6692 9794  9 20  3 68  0
 3  1      0 105004  13396 993216    0    0  8400  7124 6289 9434 13 18 12 57  0
 0  4      0 117568  13348 970652    0    0  9152  2878 6535 10189 12 14  5 68  1
 0  4      0 106764  13348 970956    0    0 10208  2786 5411 8754 10 14  4 72  0
 1  3      0 117692  13300 949456    0    0  9312  2971 6416 9627 14 15  3 65  3
 2  3      0 108808  13300 949800    0    0  8848  3021 7125 10560 13 19 11 56  0
 0  4      0 108812  13292 939324    0    0  9216  2878 6594 10056 14 17  3 66  0
 0  5      0 119052  13252 918728    0    0  9824  2758 6337 9578 11 16  3 70  0
 1  3      0 109116  13252 918924    0    0 10048  2730 5779 9012 12 12  8 68  0
 1  4      0 118172  13204 898860    0    0 10064  2697 5808 9288 11 16  3 70  1
 2  3      0 108360  13204 899068    0    0  9616  2850 6899 9908 11 15  4 69  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  4      0 116736  13156 879388    0    0  9728  2775 5451 8782  7 15  0 78  0
 1  3      0 108420  13156 879652    0    0  8752  3099 7659 10852 17 17  4 62  0
 1  3      0 109636  13144 867476    0    0  8832  3008 7568 10858 11 12  4 73  1
 0  3      0 103336  13144 867652    0    0  7040 10580 4110 6549  7  9  3 81  0
 1  4      0 104260  13132 858456    0    0  8160  6964 5629 8408 10 16  2 71  2
 2  3      0 110084  13100 840444    0    0 10160  2674 6037 9298 14 14  5 67  0
 0  5      0 118736  13032 822444    0    0  9792  2724 5764 9252 13 14  1 72  0
 0  4      0 109444  13032 822700    0    0  9376  2819 5882 9319  7 10 11 72  0
 1  3      0 107696  13008 814264    0    0  9376  2892 6522 10016 13 16  2 69  0
 1  4      0 113884  12932 797444    0    0 10048  2702 5728 8951 12 14  4 68  2
 2  3      0 105600  12932 797420    0    0  8896  2940 6784 10386 14 18  4 63  0
 2  2      0 103548  12912 789288    0    0  9600  2790 5959 9529 13 15  4 67  0
 3  2      0 109072  12852 773296    0    0  9184  3104 7107 10636 12 21  6 61  0
 2  3      0 109124  12828 762140    0    0  9296  2953 7174 10293 14 18  3 65  1
 0  3      0 103748  12828 759792    0    0  8624  3055 8574 11712 16 19  3 61  1
 1  3      0 107964  12788 744888    0    0  8800  3096 8046 10912 18 18  6 59  0
 2  3      0 129832  12648 715396    0    0  8128  7106 6792 9777 12 17  4 66  1
 1  3      0 121012  12648 715708    0    0  9216  2908 6536 10065 15 15  2 69  0
 2  4      0 111184  12648 716068    0    0  8944  2966 7416 10654 15 17  5 64  0
 0  5      0 128052  12524 688416    0    0  9088  2946 6370 9855 12 16  3 67  1
 0  4      0 119200  12524 688632    0    0  9264  2807 6504 9949  9 19  2 69  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 108364  12524 688848    0    0 10448  2578 5331 8636  9 12  5 74  0
 2  3      0 123532  12400 662460    0    0  9296  2955 6553 10009 14 15  4 67  1
 0  4      0 113736  12400 662644    0    0 10672  2501 5346 8544  9 13  8 70  0
 1  3      0 125296  12284 638360    0    0  9904  2725 5749 9263  9 15  5 70  0
 2  2      0 117280  12284 637864    0    0  9664  2767 6484 9781 10  8  2 79  2
 2  1      0 107704  12284 638400    0    0  9152  3143 7632 10786 13 19  5 63  0
 3  1      0 120128  12248 615204    0    0  9056  3089 7233 10580 16 18  6 60  0
 0  3      0 109796  12248 615332    0    0 10752  2427 5189 8283 10 10  5 74  1
 1  4      0 121120  12204 593280    0    0  9056  3168 7511 10775 17 18  4 61  0
 0  3      0 112048  12204 593424    0    0  9088  3042 6964 10383 16 18  5 60  1
 1  4      0 121056  12128 572852    0    0  8816  3258 6730 10492 13 19  9 59  0
 2  2      0 114000  12128 573164    0    0  8528  7115 5824 8677  9 15  3 73  1
 0  5      0 103384  12128 573452    0    0 10048  3111 6113 9554 10 15  1 73  1
 2  3      0 121088  12056 544428    0    0  9088  3187 6555 10140 15 19  7 60  0
 3  3      0 114032  12056 543324    0    0  8640  3315 7888 11321 15 20  4 61  1
 3  2      0 105968  12056 542332    0    0  8992  3211 6648 9912 15 16 11 56  1
 0  4      0 105428  12012 533564    0    0  8928  7076 6098 9194  8  8  7 76  0
 0  2      0 103792  11968 525200    0    0  9360  3204 6678 9993 12 17  2 68  0
 1  4      0 108444  11864 508756    0    0 10112  2941 5903 9147 11 14  4 70  1
 2  1      0 107524  11824 501132    0    0  9152  3208 6254 9849 14 15  5 67  0
 5  3      0 111388  11740 485820    0    0 11232  2653 4638 7679  9 11  5 74  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3      0 108248  11696 478888    0    0  9232  3209 7084 10219 11 18  5 66  0
 0  5      0 106320  11664 472160    0    0  8368  3544 8182 11493 17 22  7 54  0
 0  4      0 108560  11644 458740    0    0  9840  2997 6796 10819 14 17  4 64  0
 0  5      0 103672  11644 455744    0    0 10128  2858 6036 9529  9 11  3 76  1
 2  2      0 112820  11556 437040    0    0  9024  3387 6777 10089 12 13  6 68  1
 0  1      0 103244  11556 437408    0    0  9120  3234 7943 10604  7 14  4 74  0
 0  4      0 103996  11456 426888    0    0  9376  2906 6917 10231 12 19  3 66  1
 4  2      0 106136  11300 415780    0    0  8752  6657 5669 8205  8 16  8 68  0
 2  2      0 107896  11240 405008    0    0  9344  4119 7470 10825 14 20  5 60  0
 3  1      0 110836  11204 394472    0    0  8272  7667 5359 8161  9 12  0 78  1
 1  4      0 111720  11168 384608    0    0  9312  3320 6783 10746 14 19  6 59  2
 2  4      0 105956  11168 385024    0    0  8544  3860 7288 10575 11 21  6 61  2
 2  2      0 117976  11088 365208    0    0  9104  3702 6556 10076 13 15  5 67  0
 0  4      0 110700  11088 365480    0    0  9184  3470 6477 9908 14 16  2 68  0
 1  2      0 103420  11088 365872    0    0  8720  4625 6767 10158 12 13  2 72  0
 2  4      0 129240  11020 333288    0    0  9408  3349 7225 10232 13 15  5 65  1
 0  3      0 122404  11020 333720    0    0  9072  3365 7318 10593 13 19  7 60  1
 1  2      0 116860  11020 334048    0    0  8768  3922 6405 9780 12 13  4 70  0
 1  1      0 112072  11020 334400    0    0  8496  5569 7037 10228 15 18  7 60  0
 1  4      0 106016  11020 334848    0    0  8432  6105 6798 10285 14 15  7 63  1
 1  2      0 118412  10960 317392    0    0  7872  7359 5950 9277 14 15  7 63  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 117404  10960 317812    0    0  8132  5794 6993 10236  9 10  9 72  1
 2  4      0 113372  10960 318228    0    0  8640  4114 7915 10690 16 14  4 65  0
 1  3      0 111072  10960 318620    0    0  8288  4795 7867 11007 15 17  6 63  0
 3  3      0 108584  10960 319060    0    0  9376  4200 6355 9732 13 12  6 69  0
 0  3      0 104804  10960 319292    0    0  8560  7504 5494 8535  7  9  2 81  1
